ID,Delta2011,Delta2012,Delta2013,Delta2014,Delta2015,Delta2016,Delta2017,Delta2018,Delta2019,Delta2020,Delta2021,Delta2022,Delta2012-2016,Delta2017-2021,Delta2018-2022,AltoCrecimiento2012-2016,AltoCrecimiento2017-2021,AltoCrecimiento2018-2022
233151,"7,70E-02","0,204899320319639","8,14E-02","-0,179189881443372","-0,540484892763889","-0,167510587402606","0,172367574203668","-0,174741961989738","0,217711539272313","-0,0753754699895842","0,291272482178206","0,321584071816021","-0,590874846991522","-0,199823852772062","-0,921420961414216",0,0,0
233207,"0,160883994141106","-9,92E-02","-0,182075448508886","-3,47E-02","0,192019394752469","8,92E-02","2,81E-03","0,187695999835704","0,0824531574677811","-0,150616226321358","0,517417247420695","0,238087236765854","-7,65E-02","-0,657003331392099","-0,727306209803559",0,0,0
233235,"1,07E-02","-0,490285281603454","-0,980299314034006","0,635783815757326","1,78774467416084","1,99458307132242","1,23E-02","0,10227427063895","-0,0284465261514442","0,298777468733116","2,34E-02","0,149401813739169","-0,86287274273496","-0,423474067472758","-0,484334451547566",0,0,0
233284,"5,12E-02","6,45E-02","4,63E-02","-2,49E-02","0,177250581933746","0,157823262828151","-5,66E-02","-0,0102834812657127","0,0852572129542475","-0,00252772791037674","0,409678645317668","9,73E-02","0,480191601218398","-0,510304278158854","-0,674434287131494",0,0,0
233291,"0,110726200065279","-0,13757139139388","-8,31E-03","-7,32E-03","0,148523231612553","-3,82E-02","-0,194645124558574","0,0286993227286356","0,185128756388071","0,0089646418291226","0,314369695809107","0,308443791188048","-6,21E-02","-0,61676714283634","-1,05643075979656",0,0,0
233382,"-0,737298851370372","1,00746589841108","0,14421663341384","2,92007663098966","-0,282901738378054","-0,457493463776672","1,18080312927046","-0,16998012042721","8,46896033932725","-0,889189779498109","3,87E-02","0,173215216258468","2,5029556174298","0,0953702096150906","-0,278674717654409",1,0,0
233417,"4,51E-02","4,78E-02","0,1843886369545","2,50E-02","5,92E-03","-1,44E-03","0,537484635978211","-0,0105136637144587","-0,0632655182257119","-0,0329350516343774","-2,15E-02","2,54E-02","0,277686875094838","0,122946208329126","0,0911541892731395",0,0,0
233487,"0,147385959025293","-2,35E-02","0,356403541153128","2,01E-02","0,185650063892485","-0,186336024006627","0,134009832818065","0,0583396531001473","0,109486857993167","-0,0635005351757207","0,511585603112814","0,218342195936367","0,303449060233374","-0,662216201392278","-0,91351437224628",0,0,0
233529,"-0,313809981671528","2,64E-02","-0,269296834763794","0,584654730450739","-0,97426700344523","47,3715237543453","-0,319128909809746","0,73248356287886","-0,839140975033952","-0,483545848588141","1,14630270930943","-0,846486399271085","0,479296047910558","0,691086206011918","0,972627463921713",0,1,1
233550,"3,50E-02","5,58E-02","-5,94E-02","-8,70E-02","0,138528537352695","0,174109219896905","-9,07E-03","0,089873730142572","0,0292090164428913","0,0558704295899103","0,448248638425139","4,41E-02","0,211975046856445","-0,715274072676328","-0,643163217611848",0,0,0
233606,"-0,133736173411024","-3,71E-02","0,196122608606695","0,232334992807187","-5,44E-02","-0,22609646754978","-2,45E-02","0,566205890222448","0,519675442785072","-0,0516949165664064","-5,99E-02","0,127429732370395","3,86E-02","-1,1219779963501","-0,527501013408315",0,0,0
233627,"7,82E-02","6,70E-02","3,47E-02","0,114488915010911","0,147395903357348","0,371866787880851","-8,17E-02","-0,0547398358130577","0,213264555625199",-1,NA,"0,206482826572186","0,93689104866022","-0,202173806437926","-0,534394558211203",1,0,0
233655,"5,60E-02","4,81E-02","2,27E-02","1,16668800969827","0,302745294277284","-0,101787317700211","0,540483080400456","0,149794309746352","-0,313911741641121","-0,431466495423826","-6,56E-02","0,31899043335787","1,71746764150123","0,580923321908526","0,519254770561536",1,0,0
233690,"0,294810312486264","2,65E-02","0,10753398557047","0,126580420846236","0,195889429811404","-1,10E-02","-8,61E-02","0,190619966388218","0,151600566922352","-0,348888752133363","0,926925802681786","0,31932689668713","0,514820439113032","-0,72026447679967","-0,906226384345033",0,0,0
233697,"-0,563351712713196","1,67477356783805","-0,60779294165996","5,32E-02","1,23518346745985","-0,349715652885549","-0,336938889740564","0,0199963437715072","0,0728085480988703","-0,134908974768445","0,200001135982824","3,34E-02","0,605882083519403","-0,135963308671714","-0,150941208098976",1,0,0
233711,"-7,22E-02","2,52E-02","-8,85E-02","-0,106713089306533","3,50E-02","5,72E-02","-9,48E-02","-0,0409733668839475","-0,0319797704934843","0,205709592237779","0,534833851360729","0,266317582686492","-8,67E-02","-0,717984283660894","-1,26846015538714",0,0,0
233872,"2,73E-02","8,80E-02","7,34E-03","0,19766387735748","-0,274987948022712","1,92292579309681","2,54E-02","0,0071575565928826","0,317880352443984",-1,NA,"0,614024301987714","1,78173337380239","0,354632200973749","-0,0342367036121521",1,0,0
233907,"0,126772573410735","-8,41E-02","-1,78E-02","9,19E-02","0,254553985008379","0,218141755431385","5,31E-03","-0,0948217412891656","-0,0921156325281687","0,125722515445836","0,668097080588122","0,419414165117208","0,501165611795527","-0,543182633034532","-1,41987174085655",0,0,0
233956,"4,53E-02","7,41E-02","-0,141093957313446","0,211188876376533","6,17E-02","0,107481762100509","-9,94E-02","-0,0397843489456252","0,297009528958573","0,152337059741505","1,14E-02","0,14949544354516","0,313781586160827","-0,45146358747002","-0,73757923903494",0,0,0
234054,"8,12E-02","0,619827836675811","-0,200483105703256","0,196474150728488","-1,49E-02","0,544271943690642","1,43E-02","0,0260750693581681","-0,0874702336769559","0,0743317881068376","0,133634764982089","-1,82E-02","1,35712391328276","-0,140348925075492","-0,091196798706516",1,0,0
234257,"-3,93E-03","4,00E-02","5,62E-02","7,57E-03","4,63E-02","7,47E-03","5,56E-02","0,0645823283828664","0,0776486779763752","-0,330112607295994","0,508200416092119","0,217147613591695","0,166604258927058","-0,159090413634639","-0,325199651806579",0,0,0
234341,"7,96E-02",-1,NA,"1,51E-02",-1,NA,"5,90E-02","0,0436607103882692","0,323985575347821","-0,405890195523322","0,372066949157702","0,355688528495328","0,52329510741865","-0,126379169750665","-0,463137688300038",0,0,0
234411,"0,139080715613317","0,100188685350997","0,108815986406486","4,28E-02","5,21E-02","-0,424516142231679","1,04496733335811","-0,153664891057234","0,694047082176727","-0,756578077118102","-2,63E-02","0,918166471343267","-0,229791624660528","0,660164000881878","0,22978260930458",0,1,0
234502,"4,25E-02","-5,45E-02","3,02E-02","-5,44E-02","0,109272631503908","7,55E-02","-5,24E-02","-0,0677809275984009","-0,238500193113801","-0,837995335003859","1,41601921168525","-0,541499513942266","9,89E-02","0,722146619288133","0,863341231819066",0,1,1
234705,"9,48E-04","0,781976566217213","-8,46E-03","-0,204490268910538","-2,03E-02","-0,185331606899432","-0,470375438366564","-0,233200531016867","-0,21887085966174","-0,663145493661582","-0,311137898999","7,90E-02","0,121838629023785","0,86101136281429","0,804420420613874",0,1,1
234796,NA,NA,NA,NA,NA,"5,98963046682658","-0,379542765131149","0,151024521728116","-0,119560131765719","-0,00249476566781626","1,176038036551","-0,121356224004467",NA,"-1,19971259720006","-0,679168207126464",NA,0,0
234894,"-0,225106467688255","0,270552213085918","-0,213414713635874","0,124159165953947","-0,141120798281696","4,65E-02","3,57E-04","0,258353823895049","-0,0625181898694449","0,227120308436857","-0,213881706519613","2,86E-02","9,76E-03","-0,137995826705722","0,0698055236427419",0,0,0
234929,"1,35E-02","2,21E-02","9,54E-02","0,443712550339586","6,39E-02","0,674496177663891","0,172078748167991","-0,246822909104962","-0,0541932322598465","-0,411607285772412","0,276084797734651","0,547345693095876","1,87959109090995","0,465132339183547","-0,0988453862252993",1,0,0
235034,"-0,210861780486771","-0,103161116065158","-0,159324405826717","0,303433854862775","0,101072297460101","0,139067646245734","-0,329679513500664","0,216758271790153","0,117900226564975","-0,445927896670562","0,534570920378153","8,37E-02","0,232529204584756","-0,156539846997207","-0,0301092167648175",0,0,0
235160,"-8,02E-02","-3,02E-02","-3,91E-02","-0,180635725288717","0,228634685784725","0,238674457203652","-0,223378806648541","0,222161376766964","0,386853529326249","0,0540718775625218","0,397570243250219",-1,"0,162039707562172","-1,49691077041833",1,0,0,1
235237,"-2,90E-02","-0,125334647602668","5,77E-03","-0,207643031669657","0,175709028785433","-0,260401426728005","-0,446604901767422","-0,333899810524062","1,35948254781854","0,244942679888315","1,75818510255406","0,457448829227058","-0,393880893353656","-4,39671012064552","-10,808176864806",0,0,0
235251,"9,02E-02","-8,48E-02","0,197138070867467","-4,62E-02","-8,63E-02","5,59E-03","2,32E-02","-0,0934380114633557","0,106028074931936","-0,115568644298471","0,356325666420703","-1,58E-02","-3,98E-02","-0,202795426057059","-0,305769190312115",0,0,0
235377,"0,230238827419177","0,273090319082565","0,428954584864937","3,19E-02","5,00E-02","5,66E-02","5,51E-02","0,207252948236773","-0,465535633696969","-0,483246307634196","2,36424309909679","0,299381197142024","1,08260980110054","-0,121729105610514","-0,207330833398286",1,0,0
235468,"-0,181225217045843","-0,420657009894549","0,926901686629488","-0,2598282695877","2,02E-04","1,03820996901181","-0,248973414571185","-0,463471273454418","-0,0924897691087052","0,883156074400592","0,110518020126667","0,551447853804105","0,68447470033","-0,0182547275398815","-1,94442596175402",1,0,0
235510,"1,76E-02",-1,NA,NA,NA,NA,NA,"-0,988909426987061","12210,3333333333","5,14476988589835","-0,998196417267306","220,916256157635",-1,"-0,500924214417745","-30031,6666666667",0,0,0
235573,"0,736295309805729","0,198088259325145","-8,43E-02","0,380225443177753","-0,184852747311195","-0,13523462085924","0,148373706951102","-0,0850537048218897","0,66465243210328","-0,0724294441063812","-0,126283096166411","-0,15945192000925","6,73E-02","-0,234345860477668","-0,133975894035465",0,0,0
235608,"5,00E-02","4,39E-02","0,106957767006663","0,280539397675273","-0,190790153628333","0,213959893524779","2,68E-02","0,121351829845355","0,045274198302305","-0,0666988931177056","0,239433372964241","0,128596311219523","0,453669845321174","-0,355867007441691","-0,364626571585458",0,0,0
235755,"5,75E-02","0,126997349816168","0,118937750354642","9,50E-02","-5,48E-02","0,165041333400406","-3,65E-02","-0,276789271385057","0,464092211555785","0,421131531019077","-0,134045579644135","-0,266235971897654","0,520634512095007","-0,303054556829115","-0,322069104653897",0,0,0
235944,"-3,82E-02","5,35E-02","-1,93E-02","0,105249642484112","0,239112224931086","0,31208868851786","0,273184343631183","0,19530042343484","0,311980842614512","0,293339622410297","0,517457526763138","0,421778839823311","0,856501074079315","-2,07775250715312","-2,66090675037897",1,0,0
235958,"1,90E-02","0,222642088062161","-0,167771123284686","-2,35E-03","0,15297770078223","3,87E-02","-9,31E-02","0,00863036964728055","0,24419773643643","-0,206134320675164","0,47682070995311","0,116671481298455","0,215677355176401","-0,47128310593068","-0,628882031267354",0,0,0
235986,"4,86E-02","1,09930733691153","0,129010977442108","-6,47E-02","0,22735629912114","1,00E-02","-1,38E-04","0,154880198763356","0,0479100052531717","0,0194315940249174","-6,69E-02","-0,775334946084051","1,74811773425919","-0,151144902035896","0,776061593438093",1,0,1
236077,"5,85E-02","0,194119055663111","-0,146191885104923","3,37E-02","0,116019607929334","1,86E-02","0,147262687477316","0,349508592948072","0,114291049884408",-1,NA,"0,205305345918713","0,198045099160995","-1,35099171076555","-1,09977386732012",0,0,0
236091,"0,167200237225808","-1,36E-02","0,120388715982448","4,30E-02","1,95E-02","0,163038293671321","1,58E-02","0,071169816635186","0,0719623395335227","-0,187785035291451","0,342790022723193","0,265978626397206","0,366857120195852","-0,252324702057592","-0,480079331486722",0,0,0
236189,"1,16E-02","-0,377485812740629","0,164425374518554","0,562221186289139","6,11E-02","1,51E-02","-2,55E-02","0,113920687098475","0,0992655577357974","-0,361078151864108","0,297470197978062","0,18489874214043","0,219765826732612","-0,0150840896569032","-0,0797643628777483",0,0,0
236252,"0,211067082562396","-0,168321866359772","-3,87E-02","0,217852930677731","0,151240365373576","0,302766236243258","0,174516640385409","0,00617530908482862","-0,0166582138101092","-0,176391102974922","0,293899735975749","0,284013603300022","0,460284535693328","-0,0543864204798281","-0,345537397714831",0,0,0
236266,"0,100479772986595","-1,67E-03","-1,45E-02","-1,86E-03","0,168808932099383","0,301124532669979","0,160950206902982","0,00296924425127952","0,121741160304194","0,2233795414548","0,187813724106192","0,228962108114451","0,493460657327889","-0,63489484299504","-1,00327559823883",0,0,0
236294,"0,153052136525084","6,24E-02","7,17E-02","0,25949680334717","0,291218004360854","0,146027246007615","0,572686001690468","-0,0247410262119202","0,205266229969202","-0,408038076785772","1,08647107716797","-0,365184191278021","1,12204747119191","-0,451807664501167","0,0549890014656323",1,0,0
236315,"-0,602031934641355","-9,93E-03","0,256112533119209","-1,97E-02","7,22E-02","0,168156845072094","-1,80E-02","0,237587595140603","-0,344175019853609",-1,NA,"0,499207837244841","0,526871158807252","-0,0313474826182969","-0,249369527405794",0,0,0
236336,"0,635667900464819","0,200168559706969","2,61603856717484","-0,252291736110135","-3,13E-03","3,18E-04","-5,45E-02","-0,0932510435647063","-0,190855145398419","-0,381448189852536","-0,382041527216102","-0,627404284077219","2,23582148402628","0,719554345791066","0,884760993033613",1,1,1
236371,"-4,96E-02","-0,529489003527825","0,149835094380199","0,656897291039007","9,85E-02","-0,221986116858328","-0,362489443454578","0,00751166768727202","0,377706509526882","-0,216345029268887","-0,309578255864119","0,755498314068378","-0,2339022434682","0,248989259704994","-0,308568556294232",0,0,0
236427,NA,NA,NA,NA,NA,NA,"-0,328919368620857","1,04369564469266","-0,0792859628612163","-0,73612122331105","-0,554682781450397","0,308772085853196",NA,"0,778886665650641","0,858400168069114",NA,1,1
236476,"2,49E-02","0,10948949163757","-4,44E-02","-5,25E-02","6,38E-02","0,283006397881734","0,461730568596766","0,0519402598908869","0,0982276323126865","-0,33680949733182","-0,239236281435269","0,424153831435951","0,371250765606069","0,417130226478893","0,210890339652566",0,0,0
236518,"0,234695385569036","-6,95E-02","-1,47E-03","-1,69E-03","-0,145287912157875","-0,171855782070605","-0,39979672174547","0,184658485981208","0,1126893312722","0,153541837712198","1,17126399776645","0,414981586495885","-0,34345374358093","-2,30151348511337","-2,94339874679915",0,0,0
236609,"1,40E-02","-4,65E-02","5,15E-02","4,95E-03","7,41E-02","3,90E-02","-5,82E-02","-0,0620851088685086","0,244301999640527","-0,167127220215614","0,303143633988273","0,125669474670427","0,124459653913192","-0,266660377452852","-0,520224207073924",0,0,0
236728,"9,82E-02","0,478822755764495","-1,89E-02","0,181697203471553","-0,105645411369163","0,260593452315778","2,31E-02","0,261217155066291","0,0606446473848363","0,0265021498950174","0,411298881961976","0,151690828310559","0,933008730691739","-0,937932449450285","-0,769638970538739",1,0,0
236826,"-0,147567039186329","-0,310754214697917","1,18E-02","-0,145484928582321","0,178577855108672","0,214655332314638","0,631197702140479","-0,112428737371422","0,109494319824755","-0,292218895305599","-0,258486233712124","0,410949924157383","-0,146926886157075","0,483171448076992","0,178410526746296",0,0,0
236847,"0,216554886188198","6,11E-03","0,180788770934223","9,66E-02","0,285284612629675","-3,54E-02","0,23986183983871","-0,582742791095399","-0,22507459679856","-0,159167348378666","-0,469195428186932","-0,441621687374665","0,615136715378466","0,855686164441404","0,806877594279928",1,1,1
236861,"7,38E-02","3,37E-02","0,146503722264886","0,10366498738201","-2,28E-02","0,11310434518053","-2,63E-02","-0,0145553959205153","0,0550058679280737","-0,247202553333659","0,36428422351685","0,174077185313729","0,42274937395846","-0,0677512422946379","-0,272138857911297",0,0,0
236882,"0,186090682606513","0,170838672915851","3,34E-02","-1,92E-02","0,147604656516784","0,144654769133048","-0,12297081440983","0,0597841531931084","0,0242796590499051","-0,385477933895321","0,91550207183453","0,456562897828224","0,558978984906905","-0,277779974735506","-0,756175441178248",0,0,0
236945,"8,07E-02","4,84E-02","8,35E-02","8,52E-02","0,169270348146692","0,11626194264651","0,17316802987707","0,160041305267595","0,0458936577657607","-0,142260736175402","0,301873558875011","0,138818247885529","0,608990813749162","-0,3548308592382","-0,330044109888811",1,0,0
236966,"5,92E-02","-1,06E-02","-1,23E-02","-7,51E-03","2,33E-02","0,31897062891348","-7,76E-02","-0,190410784084914","0,0771097366297998","0,046667095175539","0,180574984820784","0,477123756856754","0,309193146357035","-0,0775236577777466","-0,965979489585539",0,0,0
237029,"4,05016686635779","-0,109626116037336","-0,454557722305324","0,971971066149492","0,314908504934869","-7,48E-02","0,136721976226957","0,153331194975207","0,551147233205402","-0,162016638027833","-0,253276429574624","0,663562825719583","0,165109384386861","-0,119443856720575","-0,614683790427207",0,0,0
237036,"-0,101797811566529","0,122743937079001","0,583728538698698","0,496707843429082","1,39081458735648","0,234726701476608","1,42195285886787","-0,539969611162145","0,126741327451091","0,153760591780163","4,86E-02","0,273029398414085","6,85624887527655","0,372891550680995","-0,735379903909664",1,0,0
237176,"-0,422202240646474","1,07140005951316","0,218919583589351","-0,835408131169077","-0,811726747474217","16,0821360762515","-0,430855173675199","0,216601238980775","1,56558916167043","-0,527865584460274","6,91E-02",-1,"0,336528481056747","-0,575444264689896",1,0,0,1
237218,"2,64E-02","-0,685040202868035","2,20388687490392","-5,27E-02","-0,1006570219075","-2,98E-02","-1,29E-02","0,00129022674576876","-0,0553532415139519","-0,15208439301666","-3,37E-02","4,95E-02","-0,165838117441647","0,225052754691619","0,187726851413418",0,0,0
237260,"0,19377890483072","-4,64E-02","-6,25E-02","-4,47E-03","0,193203926019339","0,189906934784996","3,37E-02","0,0871871586569215","0,0150483434298276","0,121038856891582","0,225441913892909","0,252359878218909","0,263625957229087","-0,516018278069757","-0,74634187957716",0,0,0
237407,"5,37E-04","-8,12E-02","0,161665346977509","7,49E-02","4,49E-02","-0,228576643586914","0,283405677169534","-0,84256022819474","-0,461500053496915","-0,0912532838819348","0,418550414809236","0,367230380613949","-7,52E-02","0,890708157980686","0,0508933984806876",0,1,0
237421,"0,284129910550845","0,619875620942984","9,52E-02","0,209448157388766","0,570548856594263","-2,22E-02","-4,53E-02","0,0787291153113297","0,389295617144971","-0,162697471143711","0,467969793567001","0,229053941587753","2,29497817168363","-0,84207194555004","-1,0987713720076",1,0,0
237463,"8,71E-02","0,117916763441385","3,93E-02","4,41E-02","0,270549719912701","0,322148075544666","2,18E-02","0,0868538558943234","0,108349940706831","-0,213376138188023","0,170428370897788",-1,"1,0376678771398","-0,109072685873556",1,1,0,1
237652,"6,10E-02","0,183290816298664","9,73E-02","5,82E-02","-2,58E-02","-1,79E-02","5,10E-02","-0,0791470070529735","-0,0511604690503516","-0,129080715517729","0,274043352987593","8,97E-02","0,31440464123034","0,0305058617327887","-0,147238917148594",0,0,0
237659,"0,173854037946031","0,176198471931756","0,393015685435219","-6,46E-03","0,114858666233984","3,56E-02","-0,112983265038261","-0,0914795617648317","0,283270310217284","-0,0777174394862628","8,95E-03","-0,700914570345572","0,879543640786307","-0,0848966028163633","0,642851439628295",1,0,1
237715,"2,30E-02","0,203199074048223","-8,00E-02","0,269881770291827","8,36E-02","-0,14886563897847","3,00E-02","0,129342571875351","-0,261076027266221","-0,308230056991489","5,64E-02","-7,54E-02","0,296509428431033","0,390178249537069","0,500716789187093",0,0,0
237736,"0,160623843510441","0,297684164495381","0,10682904432413","0,106778892352775","0,178375916679036","6,08E-02","0,151834026605895","-0,0205817616258851","0,00129142905911814","-0,605909559889372","1,07761690341221","0,762919446923526","0,98706399674459","0,197047128468633","-0,44528780119064",1,0,0
