ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022,Diccionario!A1
233151,11697859,12868552,14811037,18641219,11022554,9215317,12441370,12319179,12286936,15117256,10955802,18847081,14996374,
233207,5402736,5912765,6516455,6708356,6892495,7660340,8107256,8045288,7849988,7973634,8619100,10235858,12188346,
233235,11398083,11879015,11190514,7403224,7526550,5943790,16839876,12290646,11856776,12114680,12161855,12375093,12428740,
233284,62186256,67786948,73910912,73356720,75906512,64388452,68453502,72384365,68557474,79607704,81612123,105166396,99060656,
233291,57413260,62116784,63368211,59451682,62103937,65480176,51625800,50136454,50578231,56752621,54283615,64174281,65552379,
233382,6723200,7235510,7184363,7420686,7379364,7354979,11785142,11413860,10320410,15899406,16033812,16018729,16244969,
233417,6317644,10827269,10331403,9929851,9662317,9579899,7595058,7731558,8007807,7809895,8853224,8415624,8535578,
233487,183401004,238995114,183803816,220847242,200353601,200130804,146011782,170797248,160732730,181080716,221431372,273876286,310414166,
233529,2296782,2314526,1632381,1448936,1501898,8209359,8454270,9051122,7599675,3668926,3785593,3669935,3631309,
233550,27969071,33300017,31752158,35144584,43543477,47784697,42758588,44758062,44365390,53007212,48018818,54072139,52237326,
233606,17022892,10724863,12522476,13737659,15333218,22037301,13263913,15679584,23204620,41250442,42897486,53241429,44214104,
233627,42814462,48011845,47476015,51627352,61293185,71445210,81258393,85256793,96164150,104837986,0,132464767,163185447,
233655,10953352,15214145,17537171,16527151,17135914,16454792,16662139,17832694,18537946,17926521,18015068,18010928,17805483,
233690,21941126,28063040,30264233,35289975,36458577,43292333,46242099,42513224,47849632,52593206,52485433,87933536,107071478,
233697,"416501,727",374783,471471,475304,615692,595640,2702865,2334244,2363890,2415065,2298160,2286270,2170396,
233711,20547382,21331773,19689882,20280250,19707332,19339564,17536427,17166151,15307831,12688871,17748421,20989245,27253944,
233872,11949522,12090985,15126896,14694357,15502665,15085840,12850419,9851780,10814591,11934730,0,"713418,113",804188,
233907,12526067,13474368,15880457,15007990,17038452,22548531,24590683,23004510,24488635,22010103,24787224,37052850,40449408,
233956,5482531,11669608,11998076,11987776,11969233,12324763,13254251,12780863,12773228,12671641,13004954,14034370,14687748,
234054,29239527,30080398,33209239,39439898,49053348,58912653,58573568,53863557,63636259,62101872,52771774,61694772,67733196,
234257,9437293,11299555,9910707,8558849,7332879,8506227,6370061,5030974,6922142,10351484,10762427,9781186,13730553,
234341,35058028,36961910,0,43710890,41382533,0,"60038059,164",95494225,89793728,85715014,81798951,84355693,124513605,
