ID,SECTOR,RANGO_INGRESOS,EMPLEADOS,EDAD_EMPRESA,TIPOSOC
233151,6,1,39.0,51,7
233207,2,0,140.0,51,7
233235,11,2,2.0,51,7
233284,2,9,232.0,51,7
233291,2,5,145.0,51,7
233382,0,8,7.0,51,7
233417,11,2,32.0,51,2
233487,2,9,302.0,51,7
233529,11,8,6.0,51,7
233550,2,5,85.0,52,7
233606,6,5,150.0,52,0
233627,2,5,1.0,62,0
233655,11,2,1.0,60,7
233690,2,9,81.0,46,7
233697,11,8,1.0,51,2
233711,2,3,75.0,33,7
233872,12,8,5.0,60,2
233907,2,5,156.0,51,0
233956,0,2,10.0,51,4
234054,12,9,550.0,65,2
234257,13,3,237.0,51,0
234341,6,9,79.0,53,0
234411,11,8,1.0,51,7
234502,11,2,15.0,51,7
234705,5,1,70.0,51,7
234796,11,4,193.0,63,7
234894,2,0,116.0,50,7
234929,6,4,23.0,49,2
235034,6,3,47.0,50,7
235160,6,3,43.0,50,7
235237,12,9,781.0,63,7
235251,7,6,21.0,50,0
235377,13,4,3.0,50,0
235468,12,3,29.0,50,7
235510,10,8,94.74681518124376,50,4
235573,12,0,63.0,50,0
235608,2,3,177.0,50,0
235755,2,3,250.0,48,2
235944,6,5,281.0,48,7
235958,2,1,129.0,48,7
235986,12,2,34.0,48,7
236077,2,5,51.0,51,0
236091,2,3,150.0,51,7
236189,11,2,1.0,52,7
236252,2,3,78.0,54,0
236266,2,9,1.034,66,7
236294,11,7,10.0,51,7
236315,6,9,17.0,51,0
236336,6,8,3.0,53,0
236371,12,3,183.0,51,7
236427,11,8,94.74681518124376,49,3
236476,11,8,4.0,50,7
236518,6,3,20.0,50,7
236609,2,5,322.0,49,2
236728,0,8,3.0,49,7
236826,11,8,13.0,49,2
236847,5,7,3.0,49,0
236861,2,3,104.0,49,7
236882,2,3,76.0,49,7
236945,2,9,637.0,53,0
236966,2,3,114.0,49,7
237029,12,0,7.0,49,0
237036,0,7,35.0,49,7
237176,5,5,200.0,49,0
237218,9,3,134.0,49,0
237260,2,3,79.0,49,7
237407,11,8,3.0,49,7
237421,9,5,23.0,49,7
237463,2,1,92.0,49,2
237652,12,3,254.0,49,0
237659,6,2,40.0,49,7
237715,9,1,160.0,49,7
237736,16,0,65.0,49,2
237939,2,7,55.0,49,0
237967,5,0,45.0,49,0
238009,6,9,150.0,49,0
238079,2,3,178.0,49,0
238163,2,3,109.0,49,7
238275,11,2,2.0,48,7
238303,2,3,40.0,48,7
238485,11,8,1.0,49,0
238618,6,5,11.0,48,7
238688,17,9,700.0,48,0
238737,0,5,496.0,48,7
238744,2,5,169.0,48,2
238891,2,9,235.0,48,0
238919,0,4,8.0,48,7
238982,11,8,1.0,49,7
238989,5,3,41.0,48,7
238996,2,1,202.0,48,7
239045,2,5,90.0,48,0
239073,13,5,2.394,48,2
239115,11,2,25.0,48,0
239185,11,8,2.0,50,2
239241,1,9,429.0,50,0
239276,0,0,35.0,50,2
239290,6,9,442.0,50,7
239332,1,9,320.0,50,1
239346,0,2,9.0,50,7
239360,0,5,97.0,50,7
239465,11,8,2.0,49,2
239500,12,4,16.0,50,7
239542,11,8,10.0,50,7
239577,2,3,200.0,50,0
239647,12,0,20.0,50,2
239696,2,9,382.0,50,0
239759,9,8,45.0,50,7
239899,6,3,53.0,50,0
239906,11,0,3.0,50,7
239976,6,4,13.0,50,0
240025,6,9,41.0,50,7
240074,13,1,8.0,50,7
240081,2,3,101.0,53,7
240165,2,9,50.0,29,0
240179,11,8,1.0,50,7
240186,11,8,7.0,50,0
240235,0,2,5.0,50,0
240242,11,2,6.0,50,7
240256,12,1,300.0,50,7
240277,5,1,68.0,58,7
240291,6,3,73.0,50,7
240312,5,5,101.0,50,7
240347,11,4,26.0,49,7
240501,11,8,1.0,53,7
240529,0,8,11.0,57,0
240557,2,9,950.0,52,7
240578,6,9,838.0,50,7
240725,0,5,406.0,49,7
240732,7,3,136.0,49,7
240760,6,3,70.0,10,7
240921,11,8,5.0,26,3
241005,5,8,24.0,49,7
241145,11,8,5.0,49,7
241159,6,0,22.0,49,7
241166,9,7,18.0,49,0
241383,2,9,394.0,49,0
241432,11,8,8.0,48,7
241439,2,5,255.0,48,0
241572,12,8,5.0,48,2
241677,12,9,569.0,48,0
241691,13,8,14.0,13,7
241719,0,2,56.0,48,4
241838,0,8,10.0,48,2
241866,11,4,6.0,48,7
241901,0,2,9.0,48,7
241971,0,3,604.0,48,7
242069,7,3,87.0,48,0
242160,11,4,29.0,48,2
242181,2,5,309.0,53,0
242300,11,7,107.0,48,7
242468,11,8,6.0,48,2
242503,5,1,50.0,48,4
242531,0,2,23.0,48,7
242650,6,3,69.0,48,7
242734,6,9,649.0,48,7
242748,2,8,3.0,48,7
242755,5,1,41.0,48,7
242860,11,2,94.74681518124376,48,0
242916,8,1,96.0,47,0
242958,6,3,110.0,47,0
243014,6,9,98.0,47,0
243028,0,1,235.0,48,7
243070,2,9,405.0,48,7
243119,11,8,5.0,47,2
243203,12,2,11.0,47,7
243210,0,2,1.0,47,7
243217,0,5,1.052,47,7
243245,2,9,713.0,47,0
243364,2,9,316.0,47,7
243371,7,2,5.0,57,2
243406,0,1,190.0,47,0
243644,1,9,5.147,49,1
243651,11,8,1.0,47,0
243658,12,5,398.0,47,0
243833,6,9,138.0,47,0
243924,11,5,15.0,47,0
