ID,FondoManiobra2010,FondoManiobra2011,FondoManiobra2012,FondoManiobra2013,FondoManiobra2014,FondoManiobra2015,FondoManiobra2016,FondoManiobra2017,FondoManiobra2018,FondoManiobra2019,FondoManiobra2020,FondoManiobra2021,FondoManiobra2022,Diccionario!A1
233151,272411,72050,165546,1291725,247739,72893,96120,542521,367998,356988,105853,1306925,771232,
233207,223434,223760,55001,-10349,225334,-91047,19323,266283,-212337,621859,401428,881146,935847,
233235,-174757,-687013,-638832,-1572237,-1538852,-3315779,-338941,-1037480,469239,300791,449865,578389,395797,
233284,301267,-1028919,2812875,405738,-3170488,719759,4068476,2362860,813289,6571583,5199341,1444846,9187956,
233291,338774,-1653711,-1605210,-1256508,-3418782,-410423,1023519,474093,44818,669353,2019210,2371865,2682919,
233382,90575,100811,99700,205328,141389,121087,160624,183885,68534,5126305,107322,143035,310052,
233417,81323,56889,53368,203632,6357711,-75087,186624,-4644,118049,79048,86058,-9040,-139619,
233487,-6891809,-367194,-12119444,2529773,1297890,-9735091,-2512158,9470641,8623491,19295173,-2144011,15033866,22485857,
233529,-181526,-370998,-274803,-142605,-132629,-591116,650051,172092,672954,-88904,-41504,34641,-96093,
233550,-459516,-941022,188109,94305,-1758225,-85769,715214,650206,523892,-146072,361476,3554686,1833850,
233606,4524130,4911440,3416493,3954007,3717565,3005569,2416543,3166636,6800704,15507981,13446514,15485658,15091443,
233627,2580812,1976875,5492651,2288143,2941950,2795184,7244076,5168882,4288879,6730117,0,11645155,10950423,
233655,630717,703519,705815,2774935,776651,931094,966325,1425092,1607811,1108711,1202398,1027680,845336,
233690,1199757,1231692,1779543,1397016,1592675,1374867,1841967,871187,3378683,3786478,1071903,6304305,13221128,
233697,"185135,12",55485,88909,1349,17938,14289,6629,12581,15816,-2194,104,-22713,-90791,
233711,127711,30206,182146,75295,33798,90138,809935,-395516,-441565,-2245454,749598,761360,1350377,
233872,535821,488104,121626,117983,396089,131761,72487,92898,97307,86465,0,"913,523",93697,
233907,325561,12249,619980,191065,-673864,319984,1819138,2335617,1523279,1828620,2254289,2704251,6000305,
233956,59757,140034,13112,1553,10915,1283,76813,-26434,46213,21071,82438,47675,40557,
234054,8182762,7822422,7295769,14655882,15136228,14068082,8850186,5566758,3980685,2283456,7782731,8217320,-5824432,
234257,-553518,387305,21861,294813,306041,-369018,-2583547,-1820896,-777422,-2025721,-8601458,-7452107,2052866,
234341,3324104,3758516,0,5258060,1086504,0,"1004655,952",12916988,5487893,-16396240,-75508713,10722969,4627195,
234411,-66242,314555,325179,367404,392120,426873,198146,-3601751,1406950,1121130,3725237,1062145,-451054,
234502,1042849,782130,511876,22627,885628,1009905,946785,393582,1941944,-1409687,-4069918,2030427,248580,
234705,2568862,2071406,6930817,7712949,13165473,12621831,19601889,17351402,5497218,5308973,8512843,2868729,14387717,
234796,0,0,0,0,0,3108548,2906508,960420,1899562,651563,-785280,2503698,711879,
234894,1207161,855553,1021484,1019070,872557,524280,-610004,184623,392621,"623127,714",143242,18213,148855,
234929,45224,54363,59771,63344,74550,7249005,381769,496187,258523,253107,148078,210507,296881,
235034,1263107,542770,943778,162810,376189,1035243,1135105,851460,238090,360270,-4745054,594885,562872,
235160,403916,728832,684626,763555,182706,-2013903,1477321,1241770,893116,850699,1449620,3939243,0,
235237,4371873,1185372,2037847,2052868,"1441189,455",-4868179,-4940889,1924680,1220512,-700377,339884,1285296,444556,
235251,321278,550606,1457089,-6827862,-41381,-545051,-63042,-148805,-95473,-172184,600918,1512293,1584570,
235377,99079,158536,252873,364115,-208320,232777,322352,246053,2715727,1370469,652765,2513634,3598312,
235468,1975007,2568890,20106716,943144,1188979,784682,8418395,1647702,1040158,505208,6037344,4283025,8379272,
235510,4591852,39223,0,0,0,0,-149728,-66941,-37816,29449,384885,-64836,146238,
235573,"149621,427","514737,925","481880,239","211353,969",225502,264232,293921,513347,348121,482278,415897,298616,216841,
235608,510388,514778,437814,575438,795196,408262,281890,714404,653445,852824,838455,1590241,1234063,
235755,3285551,3278836,3656889,3772149,3261167,1682118,3467674,2522119,-1121611,2892644,5781265,3741471,803277,
235944,265700,208193,31602,-86205,8028,302136,329133,355980,336077,562121,892763,1170908,1313126,
235958,983006,393058,541949,827865,640794,762308,980982,74186,100852,509355,-60221,803239,55188,
235986,692048,1351519,"2469423,785",2931398,2977518,1658893,1807476,2281581,3251388,2912921,3252756,3364449,988224,
236077,435841,523083,730997,501881,835457,1026448,700009,200148,765776,1837153,0,3502515,2337520,
236091,865445,1066644,834140,555242,389754,387146,395691,547606,1014414,530849,195198,253734,460053,
236189,162645,173455,107588,131369,213371,222029,76147,398725,469736,309912,"175066,569",213430,109599,
236252,311609,643831,46765,-521048,591157,296494,570880,611786,453764,614695,642344,1376465,2247453,
236266,3356280,753378,2261122,2130855,183492,194700,2887928,4392288,3966148,4101752,4409822,923995,831650,
236294,1118124,531247,588815,3515046,847614,1208385,4866441,1299497,3550931,4980402,2400339,6456313,3136953,
236315,563449,1359054,1046634,2966043,940011,940577,2256532,4210382,-9372159,"2292742,573",0,1858178,1685087,
236336,570541,80945,31428,180147,80433,288804,76279,102795,124670,-407355,-78403,-1873039,-847138,
236371,407054,-1068845,-1808903,-3065367,439727,691632,800134,413939,1410,79789,-630213,-2869222,-1348570,
236427,0,0,0,0,0,0,325338,-731905,-596581,-2042949,-1308991,-1200291,-1224435,
236476,313288,64119,125876,91555,44775,109309,395482,335724,499996,363243,295176,126353,158857,
236518,155239,1764723,678331,287288,263828,465267,-174248,222275,71157,248684,235263,"1661390,164",2172694,
