ID,RAGXFI2010,RAGXFI2011,RAGXFI2012,RAGXFI2013,RAGXFI2014,RAGXFI2015,RAGXFI2016,RAGXFI2017,RAGXFI2018,RAGXFI2019,RAGXFI2020,RAGXFI2021,RAGXFI2022,Diccionario!A1
233151,0,0,0,0,495774,0,18381,10571,9580,17717,16025,13556,0,
233207,0,0,0,0,0,230295,279161,250839,190492,160780,137706,180801,210288,
233235,0,0,0,0,0,0,123996,54990,0,0,0,0,0,
233284,0,0,0,0,0,0,0,0,0,0,0,6434330,5139747,
233291,0,0,0,0,0,0,1763650,787626,1129735,867059,1429850,1219379,3350869,
233382,0,0,0,0,0,0,73879,63179,0,26527,5424,10953,23991,
233417,0,0,0,0,0,0,0,0,0,0,0,0,0,
233487,0,0,0,0,0,7306403,9025591,418264,5647478,3743239,6463319,8242722,17773420,
233529,0,0,0,0,0,0,243,2666,1220,789,626,4128,6480,
233550,0,0,0,0,0,0,565967,93363,257724,0,0,0,0,
233606,0,0,419818,586773,0,0,657448,202142,242015,335639,1764126,468450,128027,
233627,0,0,0,0,0,0,5794390,2858622,4567917,7137475,,5810785,10757876,
233655,0,0,0,0,0,0,0,0,0,0,0,0,0,
233690,0,0,0,0,0,5126022,4074383,2488873,0,0,14507718,0,0,
233697,0,0,0,0,0,0,0,0,0,0,0,0,0,
233711,0,0,0,0,0,0,1501867,349156,597859,282102,335167,512278,614744,
233872,0,0,0,0,0,0,0,0,0,112604,,0,0,
233907,0,0,0,0,0,0,2259176,1033138,1155066,846662,955002,1389794,2764310,
233956,0,0,0,0,0,0,0,0,0,0,0,0,0,
234054,0,0,0,0,0,2481182,2148152,0,1651892,997013,2717996,1228078,0,
234257,0,0,0,0,0,26884,37918,48499,47166,59008,32893,27586,26531,
234341,0,0,,0,0,,0,1771284,5675238,32664707,64995943,54035035,9992411,
234411,0,0,0,0,0,0,0,0,52684,66968,78290,92764,445014,
234502,0,0,0,0,0,0,570687,460969,554788,433858,254645,179363,0,
