ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
233151,5152131,5279450,6627476,6820681,6670608,6557581,7100101,7468100,7825087,4704891,6011816,5370270,
233207,3530980,4532003,5070418,5295751,5541097,5560420,5826703,5614366,6061551,6462979,6920838,7856685,
233235,181325,-465628,467927,-245108,5221427,15915439,10934379,11051108,11351899,11500972,11674483,11549730,
233284,45259208,49972342,48909547,46497465,31399703,35306879,37369739,36506438,41945937,43950364,42867203,29033685,
233291,42722342,45463419,42564273,46288468,49759447,30781156,30590956,29889305,30558658,31302868,32374733,24232533,
233382,5703773,5767983,5909729,6035625,6124479,10116999,9851230,9851230,14977536,15084858,15227859,15447651,
233417,9825523,9581142,9003027,8431204,8483016,6775150,6769927,6887974,6967025,7053083,7044043,6904424,
233487,90846968,91938829,94426368,87832644,60310617,57798459,67269101,75892591,92647978,90116406,105150272,127636129,
233529,1750487,1475686,1333080,1200449,8080139,8332821,8504913,7177867,3403963,3356562,3391203,3295110,
233550,24482288,24651770,27502063,35876567,39013528,25513442,25357399,26031381,25885310,25992177,28251227,24066922,
233606,6462549,5879042,6554452,5911411,7916980,7442102,8598580,13399284,22643265,29831147,38958504,24693691,
233627,28584809,30402920,32159359,37097674,41576086,48843396,53885989,49189148,55919266,0,77992797,85488996,
233655,13252368,14033634,14193160,15160463,15819745,14632855,13560505,15168317,15578041,15900671,15931411,15322367,
233690,8637663,10637423,12034438,13627114,16200271,15492420,19376099,21448764,25235242,26307145,32611444,32056434,
233697,337660,426569,427919,514857,529146,2595352,2271990,2292000,2275570,2275674,2252961,2162170,
233711,9554170,9606510,9566662,9470656,9560795,8247794,7840278,7398712,5153259,5902856,6664216,8014593,
233872,11903886,14306917,13610642,14464401,13709162,8409133,7710102,8876172,9879539,0,"303119,228",396816,
233907,6361001,8299750,8257428,7667372,11157336,11316253,12651870,13015149,14043768,15887288,16602307,13945789,
233956,11196222,11438682,11366715,11350467,11624995,12702890,12598696,12474848,12485545,12567985,13637867,13684349,
234054,10441524,11283205,16333264,19121936,23033790,21644733,17907582,15346198,13785286,11801199,10136762,2853402,
