ID,RAIE2010,RAIE2011,RAIE2012,RAIE2013,RAIE2014,RAIE2015,RAIE2016,RAIE2017,RAIE2018,RAIE2019,RAIE2020,RAIE2021,RAIE2022
233151,20586147,22171157,26714012,28888389,23711882,10895968,9070778,10634286,8776030,10686673,9881160,12759270,16862448
233207,6341128,7361314,6631251,5423863,5235643,6240988,6797898,6816970,8096488,8764069,7444058,11295742,13985114
233235,7662306,7744383,3947426,77767,127210,354629,1061966,1074982,1184925,1151218,1495176,1530209,1758825
233284,68433832,71936077,76572850,80115828,78118429,91964966,106479177,100447696,99414744,107890568,107617850,151706585,166463456
233291,51076159,56731628,48926979,48520530,48165576,55319283,53208782,42851952,44081774,52242578,52710914,69281628,90651116
233382,433386,113851,228552,261513,1025151,735134,398815,869737,721899,6835633,757458,786790,923074
233417,1046708,1093966,1146242,1357596,1391526,1399767,1397746,2149013,2126419,1991890,1926287,1884800,1932587
233487,193683192,222229375,217001065,294341013,300257532,356000362,289664670,328482584,347646144,385708828,361216111,546009073,665225893
233529,986989,677262,695114,507922,804881,20712,1001871,682145,1181805,190104,98180,210724,32349
233550,26246030,27164353,28680310,26975884,24628651,28040422,32922518,32623938,35555973,36594528,38639080,55958995,58424267
233606,40500770,35084352,33782816,40408390,49796673,47085844,36439901,35546739,55673512,84605669,80231986,75429398,85041346
233627,34152218,36824063,39292425,40657054,45311836,51990615,71324198,65499484,61914053,75118126,0,78741764,95000586
233655,827895,874268,916303,937074,2030347,2645025,2375795,3659872,4208100,2887128,1641429,1533767,2023024
233690,27959853,36202706,37161433,41157550,46367290,55450152,54840599,50119330,59673075,68719547,44744070,86218503,113750390
233697,"400015,31",174666,467192,183236,192977,431339,280493,185984,189703,203515,176059,211271,218337
233711,27440771,25459884,26102093,23792414,21253452,21996415,23253620,21048795,20186355,19540800,23560530,36161499,45791942
233872,339971,349238,379983,382771,458431,332368,971487,996150,1003280,1322203,0,"642883,133",1037629
233907,18157358,20459213,18738418,18405783,20096959,25212720,30712667,30875630,27947949,25373506,28563527,47646736,67630452
233956,1245995,1302390,1398848,1201479,1455218,1544997,1711056,1541008,1479700,1919185,2211548,2236717,2571096
234054,44402399,48006508,77762278,62172255,74387496,73275493,113157288,114774153,117766897,107465799,115453924,130882582,128506861
234257,16454179,16389527,17045120,18002800,18139150,18978355,19120092,20183416,21486908,23155338,15511469,23394404,28474443
234341,53992663,58292950,0,71147744,72218735,0,"88797365,532",94040545,98146422,129944447,77201270,105925311,143601729
234411,705353,803454,883951,980139,1022066,1075316,618827,1265481,1071021,1814360,441655,430056,824919
234502,16683342,17392447,16444329,16940834,16019638,17770146,19112475,18111437,16883827,12857031,2082899,5032324,2307323
234705,200426581,200616522,357493941,354468481,281983126,276258863,225059364,119196967,91400171,71395337,24049841,16567024,17876007
234796,0,0,0,0,0,506098,3537438,2194829,2526302,2224257,2218708,4827993,4242086
234894,15582662,12074904,15341796,12067631,13565938,11651502,12192724,12197079,15348241,"14388696,755",17656662,13880225,14276849
234929,1679329,1701992,1739614,1905558,2751078,2926875,4901041,5744406,4326555,4092085,2407753,3072497,4754215
235034,29268277,23096716,20714033,17413782,22697713,24991823,28467377,19082266,23218505,25955972,14381480,22069401,23917596
235160,13459648,12379657,12005392,11536461,9452564,11613748,14385653,11172203,13654235,18936424,19960352,27895994,0
235237,42393358,41164571,36005224,36213022,"28693640,326",33735372,24950633,13807558,9197217,21700673,27016094,74515388,108602365
235251,4259043,4643268,4249651,5087419,4852434,4433487,4458284,4561666,4135433,4573905,4045305,5486751,5399921
235377,1592112,1958678,2493574,3563204,3676693,3860666,4079162,4304098,5196135,2777149,1435102,4828032,6273454
235468,14327388,11730904,6796217,13095642,9693024,9694983,19760411,14840594,7962405,7225964,13607618,15111505,23444712
235510,119376,121472,0,0,0,0,0,541,6,73268,450215,812,180196
235573,"5606793,489","9735049,238","11663448,196","10679687,201",14740376,12015577,10390655,11932355,10917464,18173783,16857466,14728653,12380141
235608,9440861,9912475,10348047,11454851,14668388,11869804,14409466,14795294,16590730,17341862,16185179,20060451,22640151
235755,17282083,18276468,20597531,23047355,25237843,23854800,27791828,26777436,19365729,28353213,40293645,34892460,25602832
235944,5172913,4975424,5241512,5140331,5681349,7039829,9236880,11760251,14057033,18442558,23852491,36195142,51461487
235958,10726406,10930211,13363736,11121687,11095591,12792969,13287610,12051164,12155170,15123435,12005976,17730674,19799338
235986,4009172,4203976,"8825437,661",9964016,9319689,11438579,11553021,11551425,13340512,13979656,14251303,13297364,2987453
236077,18148130,19209670,22938633,19585191,20245483,22594356,23014051,26403162,35631294,39703632,0,62073615,74817660
236091,12443840,14524453,14327273,16052115,16742786,17069818,19852852,20165810,21601007,23155466,18807216,25254142,31971204
236189,1746486,1766726,1099812,1280649,2000657,2122969,2154992,2099961,2339190,2571391,"1642917,89",2131637,2525774
236252,7612485,9219230,7667432,7370633,8976347,10333933,13462699,15812164,15909809,15644780,12885180,16672131,21407243
236266,132993732,146356912,146112874,143997354,143729077,167991829,218578290,253758511,254511982,285496566,349270658,414868481,509857643
236294,2540925,2929819,3112552,3335833,4201471,5425015,6217215,9777727,9535816,11493197,6803535,14195379,9011451
236315,113009442,44974149,44527407,55931434,54827116,58784684,68669731,67431252,83452081,"54729959,365",0,69545052,104262487
236336,2425032,3966547,4760525,17214242,12871231,12830961,12835038,12135328,11003696,8903584,5507328,3403300,1268055
236371,46751570,44433614,20906504,24039032,39830207,43753065,34040492,21701173,21864185,30122430,23605592,16297814,28610785
236427,0,0,0,0,0,0,909311,610221,1247106,1148228,302993,134928,176590
236476,436510,447358,496339,474321,449435,478127,613440,896684,943258,1035912,687007,522650,744334
236518,18377954,22691175,21114004,21082937,21047305,17989386,14897806,8941712,10592875,11786579,13596312,"29521182,748",41771930
236609,39476008,40028281,38165888,40132755,40331551,43320625,45010187,42390036,39758246,49471265,41203270,53693779,60441448
236728,65084,71472,"105694,42",103700,122542,109596,138156,141346,178268,189079,194090,273919,315470
236826,1323778,1128432,777767,786920,672435,792517,962635,1570248,1393707,1546310,1094449,811549,1145055
236847,36546781,44461165,44732911,52820119,57921112,74445114,71810860,89035545,37150723,28789039,24206764,12849061,7174637
236861,10934290,11741633,12137637,13915846,15358432,15007938,16705401,16266270,16029508,16911225,12730727,17368330,20391760
236882,10540963,12502538,14638455,15127633,14837872,17028011,19491194,17094346,18116317,18556175,11403179,21842813,31815431
236945,65120346,70373541,73776563,79939214,86752483,101437106,113230381,132838263,154097872,161169987,138241826,179973378,204956967
236966,10126388,10726208,10612595,10482450,10403778,10646695,14042678,12952717,10486380,11294982,11822086,13956859,20616008
237029,972335,4910454,4372140,2384750,4702658,6183565,"5721216,037",6503432,7500611,11634552,9749561,7280227,12111115
237036,631045,566806,636378,1007850,1508457,3606441,4452969,10784881,4961373,5590184,6449734,6763290,8609867
237176,111677323,64526907,133661039,162922058,26815646,"5048668,891",86242049,49084216,59715918,153206512,72334067,"77329446,584",0
237218,41454514,42547462,13400740,42934455,40673834,36579727,35491471,35033377,35078578,33136865,28097265,27149019,28493387
237260,16309990,19470522,18567834,17406585,17328799,20676791,24603457,25433539,27651017,28067119,31464331,38557710,48288129
237407,899828,900311,827215,960947,1032902,1079301,832598,1068561,168234,90594,82327,116785,159672
237421,5949078,7639389,12374860,13552886,16391513,25743672,25171620,24030284,25922167,36013553,30154239,44265512,54404702
237463,4613867,5015945,5607409,5827585,6084353,7730473,10220830,10443336,11350380,12580193,9895880,"11582418,707",0
237652,12941781,13731359,16248191,17828340,18865944,18378330,18048562,18968879,17467549,16573901,14434530,18390217,20039452
237659,4670159,5482085,6448020,8982193,8924159,9949176,10303818,9139659,8303567,10655721,"9827585,648",9915585,2965607
237715,22407834,22923008,27580942,25375771,32224229,34917984,29719896,30611468,34570834,25545218,17671414,18667539,17260637
237736,2837250,3292980,4273248,4729755,5234793,6168554,6543362,7536867,7381745,7391278,2912832,6051749,10668746
237939,4638695,4553839,4686289,5312170,5735314,5744750,6162559,6257494,6705133,7473552,6773185,7668305,9428937
237967,23496533,17542575,25593436,24965354,23961016,43862415,35471990,53246257,38263980,34443248,30703310,50795958,11746167
238009,46631670,45758800,43890830,46458088,56951759,55454318,52973830,47349475,51136301,58981678,80559497,68283875,103825733
238079,8248030,8196770,8767392,8426024,9529360,9565685,9467242,10055854,10739531,12768915,12626541,19234045,25152384
238163,13773454,13762153,16111920,16421693,16231757,19106704,21256128,20888491,19666378,17973585,13482644,16722680,23772667
238275,1541250,2497247,4402123,518646,278598,0,765103,1198610,1786083,1535107,1063853,2164647,2785160
238303,8193850,6286156,7383452,10028072,11058611,10473777,15475851,12929655,15347392,13424474,11294177,17330183,22127734
238485,183972,192000,204000,466251,610370,698665,1109722,1109480,975452,1460975,905831,519003,1053095
238618,11151924,14937437,16152033,15584605,18616741,26076473,31904425,30083815,32670490,29620571,22286383,28956633,50592692
238688,42575797,41818528,56722800,78322818,79019462,107157708,93158754,115011040,116101056,123376375,"131646764,983",118860063,136598887
238737,20838488,22724715,23085979,23344308,24518330,28165294,38793258,61383044,39082830,53318790,53156217,57876260,70245659
238744,18526655,23222581,27823288,32495084,34514768,34734251,40352396,47482655,44939703,45700160,53446130,58030213,76681337
238891,13726653,"17841042,431",15743555,"11028149,171","11998282,504",16646482,"22079989,483",37842018,48756999,39228982,40619219,101214263,130885364
238919,0,192174,761284,976555,1112263,1116467,1312948,1517956,1741450,1766291,2101246,2171362,3432502
238982,99871,2000,6000,14770,371248,375667,441349,313597,1388515,488992,372124,319692,511457
238989,16281910,14564364,19733954,23646024,26879287,23242311,21461392,25459977,15480707,23034154,17653943,26673409,20743225
238996,19931912,20500067,20556595,20982462,21258109,22327048,21688686,20495861,19343797,19954456,11096291,11945724,18053873
239045,20108238,22034089,25399965,28383633,32954694,39447442,36503124,38723239,38782550,41097849,45272517,68438260,79934799
239073,"33642301,891","31836212,903","41746306,358","43298397,726","43886545,014","44575648,489","47014727,61","46150572,099",47219539,50755025,53348616,56046790,70589852
239115,866598,1906190,4298569,2208855,1053679,15225645,1107677,4716239,2863608,2446991,1794747,1670662,1580889
239185,176648,165754,"226841,893",237737,323578,326728,357586,427465,375608,365987,369058,414680,479057
239241,747245,896500,280000,632800,908600,1870496,1618040,2526521,10651429,16075,5475287,13332739,0
239276,3248716,5732262,5455318,4778002,5350245,5145353,7060602,4703562,5248128,5926979,7459217,10796785,11643467
239290,472014510,519557230,669793421,655278177,644056750,637401783,672442115,775553077,607476437,703531399,820917249,893069794,933823373
239332,107580051,124316266,159466037,169043515,163794586,131435761,66126010,129070100,124201501,43626246,0,11815966,157650478
239346,733471,872561,784793,987279,797910,1091118,1041987,1157566,1156615,1276684,1230358,1487447,1777046
239360,19807382,24968502,25444832,24478485,27473744,28102279,32996334,34871937,35079547,36440815,39487853,48473849,69998155
239465,0,238480,0,283351,341202,597852,853762,998837,1147846,1159023,1159226,1382011,1493633
239500,0,0,14458680,11372718,12508513,5633569,5187171,4786224,3690655,4163205,2735374,3486058,4432534
239542,2831037,2145771,1593419,734734,699097,745682,782707,288224,384238,1429646,186309,977773,509025
